FourFactorsRAPM

playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey,playerRole
101139,"CJ Miles",-0.03,368,-0.02,384,-0.02,355,-0.08,401,-0.08,463,0.01,342,-0.07,379,-0.07,406,0.01,358,-0.04,375,0.01,406,-0.04,363,-0.03,418,-0.02,406,-0.02,406,-0.11,384,-0.1,436,0.01,337,"2020-23",-1,"N/A","101139_2020-23","No Role Available"
203090,"Maurice Harkless",-1.18,677,-0.25,525,-0.93,683,-0.18,470,-0.4,644,0.22,199,-2.93,740,0.18,317,-3.12,771,-1.96,724,0.44,200,-2.4,778,0.33,191,0.31,136,0.02,358,-1.1,630,0.02,357,-1.12,681,"2020-23",-1,"N/A","203090_2020-23","No Role Available"
1626163,"Frank Kaminsky",-1.04,659,-0.23,517,-0.82,661,-0.49,606,-0.17,523,-0.33,577,1.31,169,2.79,30,-1.48,672,-1.59,691,0.45,194,-2.04,767,0.48,141,-0.29,611,0.77,32,-0.54,515,0.03,353,-0.57,579,"2020-23",-1,"N/A","1626163_2020-23","No Role Available"
101141,"Ersan Ilyasova",-0.2,441,-0.07,429,-0.12,440,0.37,185,0.24,198,0.13,247,-1.54,640,-0.3,480,-1.24,645,-1.62,692,-0.93,690,-0.69,604,0.09,313,0.17,225,-0.08,486,-0.05,353,0.14,281,-0.19,434,"2020-23",-1,"N/A","101141_2020-23","No Role Available"
101150,"Lou Williams",-0.83,634,-0.56,644,-0.27,510,-0.73,662,-0.22,554,-0.51,647,1.82,106,1.31,123,0.51,235,-1.34,668,-0.85,678,-0.49,536,0.53,124,-0.32,632,0.85,22,-0.53,510,-0.64,618,0.11,290,"2020-23",-1,"N/A","101150_2020-23","No Role Available"
1626178,"Rondae Hollis-Jefferson",0.51,196,-0.11,455,0.62,144,-0.48,601,-0.12,496,-0.36,597,-0.18,411,-0.77,578,0.59,222,1.21,131,0.47,188,0.74,154,0.36,183,0.01,388,0.37,123,-0.1,377,-0.14,456,0.04,312,"2020-23",-1,"N/A","1626178_2020-23","No Role Available"
1627846,"Abdel Nader",-0.9,641,0.41,184,-1.31,733,0.22,235,0.08,301,0.14,245,0.78,235,0.97,179,-0.19,427,-0.04,374,1.38,40,-1.42,721,-0.61,669,0.18,216,-0.79,761,-0.25,438,0.87,119,-1.12,682,"2020-23",-1,"N/A","1627846_2020-23","No Role Available"
1626145,"Tyus Jones",-0.64,597,-0.23,518,-0.41,554,-0.09,410,-0.15,512,0.06,289,-1.23,595,0.66,228,-1.9,719,-2.58,760,-1.03,705,-1.55,729,1.1,30,0.42,104,0.68,46,-0.14,395,0.14,292,-0.28,477,"2020-23",-1,"N/A","1626145_2020-23","No Role Available"
1627739,"Kris Dunn",-1.33,693,-1.74,766,0.41,178,0.04,315,-0.49,671,0.53,124,-0.8,539,-1.86,706,1.06,155,-0.24,443,-0.47,588,0.24,250,0.01,398,-0.05,441,0.04,321,-0.93,603,-1.57,747,0.64,165,"2020-23",-1,"N/A","1627739_2020-23","No Role Available"
1627853,"Ryan Arcidiacono",-1.06,660,0.26,229,-1.32,734,-0.77,672,0.01,369,-0.79,728,-0.02,370,0.23,304,-0.26,444,-0.34,473,0.9,90,-1.24,696,0.37,174,0.24,170,0.13,240,-1.02,622,0.72,148,-1.74,744,"2020-23",-1,"N/A","1627853_2020-23","No Role Available"
1627740,"Henry Ellenson",0.35,225,0.1,297,0.25,222,0.05,310,0.22,209,-0.17,491,-0.31,441,-0.69,565,0.38,261,0.17,302,0.26,264,-0.08,387,0.29,211,0.13,252,0.16,220,0.17,277,0.38,209,-0.21,443,"2020-23",-1,"N/A","1627740_2020-23","No Role Available"
1627736,"Malik Beasley",-1.16,673,-1.22,737,0.06,295,-0.35,548,-0.73,732,0.38,160,-4.83,777,-1.87,708,-2.97,770,-1.04,618,0.33,236,-1.37,714,0.3,208,0.04,328,0.26,163,-1.24,656,-1.46,735,0.22,245,"2020-23",-1,"N/A","1627736_2020-23","No Role Available"
1627737,"Marquese Chriss",-1.63,724,-0.04,410,-1.59,760,-0.09,413,0.15,246,-0.24,537,-0.41,467,-0.19,448,-0.22,435,0.62,202,0.86,100,-0.25,462,-0.93,745,-0.42,674,-0.51,714,-1.22,653,-0.24,500,-0.98,655,"2020-23",-1,"N/A","1627737_2020-23","No Role Available"
1627863,"Danuel House Jr.",-1.69,729,-1.03,725,-0.67,629,-1.11,728,-1.04,763,-0.07,404,0.94,209,-0.12,428,1.06,154,-3.32,779,-0.99,702,-2.33,777,0.21,236,0.29,147,-0.08,481,-1.76,713,-1.11,708,-0.65,594,"2020-23",-1,"N/A","1627863_2020-23","No Role Available"
1626153,"Delon Wright",1.62,69,0.84,100,0.78,121,-0.09,419,-0.5,676,0.41,151,2.61,69,1.4,112,1.21,135,-0.91,589,-0.4,568,-0.51,544,1.8,8,1.29,7,0.51,83,2.29,70,1.12,90,1.17,98,"2020-23",-1,"N/A","1626153_2020-23","No Role Available"
1628414,"Sindarius Thornwell",1.05,117,0.89,93,0.16,258,0.2,242,0.15,251,0.05,297,1.61,123,1.05,169,0.56,229,1.19,133,0.85,103,0.34,220,0.37,177,0.22,189,0.15,226,0.72,184,0.59,170,0.13,285,"2020-23",-1,"N/A","1628414_2020-23","No Role Available"
1631197,"Jared Rhoden",-0.27,472,-0.41,592,0.14,264,0.18,249,0.07,307,0.11,260,2.37,79,0.14,330,2.23,57,0.62,201,-0.05,427,0.68,160,-0.32,581,-0.31,621,0.01,397,0.81,170,0.12,298,0.69,161,"2020-23",-1,"N/A","1631197_2020-23","No Role Available"
200765,"Rajon Rondo",-1.42,701,0.11,294,-1.53,753,0.01,348,0.48,109,-0.48,637,-2.31,710,-1.36,657,-0.95,606,-3.07,771,-1.7,769,-1.37,715,-0.17,526,0.19,212,-0.36,660,-1.33,665,0.57,175,-1.9,753,"2020-23",-1,"N/A","200765_2020-23","No Role Available"
201566,"Russell Westbrook",0.01,343,-0.54,635,0.54,159,0.38,181,0.11,281,0.28,186,0.51,276,0.34,280,0.17,300,-2.46,756,-1.53,754,-0.94,656,0.11,298,0.12,260,0.01,389,-0.72,562,-0.39,554,-0.33,502,"2020-23",-1,"N/A","201566_2020-23","No Role Available"
1627752,"Taurean Prince",-0.08,397,-0.38,582,0.3,208,0.32,206,-0.68,722,1,50,0.9,217,-1.25,646,2.16,59,-2.02,728,-0.67,641,-1.34,711,0.27,218,0.23,181,0.04,320,-0.16,404,-1.05,701,0.89,132,"2020-23",-1,"N/A","1627752_2020-23","No Role Available"
1628424,"Kobi Simmons",-0.21,449,-0.03,396,-0.18,475,-0.06,383,-0.02,411,-0.04,377,0.25,315,0.28,295,-0.02,370,-0.34,472,-0.06,430,-0.28,477,-0.37,595,-0.18,554,-0.19,569,-0.41,478,-0.17,462,-0.25,465,"2020-23",-1,"N/A","1628424_2020-23","No Role Available"
101108,"Chris Paul",2.65,37,1.08,71,1.57,52,0.9,91,0.72,62,0.18,220,-1.19,590,1.01,173,-2.19,735,-0.61,524,0.57,163,-1.18,687,1.35,16,0.3,143,1.05,10,2.96,38,1.98,26,0.98,120,"2020-23",-1,"N/A","101108_2020-23","No Role Available"
1627826,"Ivica Zubac",-0.12,409,1.2,60,-1.33,735,-0.47,595,-0.3,598,-0.17,486,1.59,125,4.5,9,-2.91,769,4.16,15,1.99,13,2.17,35,-1.98,781,-1.1,776,-0.88,767,-1.26,658,0.03,352,-1.29,699,"2020-23",-1,"N/A","1627826_2020-23","No Role Available"
1631303,"Justin Minaya",-0.23,457,-0.27,537,0.04,308,0.04,316,0.01,372,0.02,318,0.36,300,-0.07,412,0.43,248,-1.2,645,-0.94,692,-0.26,469,0.2,245,-0.02,402,0.21,186,-0.18,410,-0.23,495,0.05,307,"2020-23",-1,"N/A","1631303_2020-23","No Role Available"
1631311,"Lester Quinones",0.07,308,0.07,311,0.01,341,0.19,248,0.1,282,0.08,277,-0.74,528,-0.44,508,-0.3,451,0.49,227,0.11,329,0.38,209,-0.11,493,-0.03,418,-0.08,490,0.14,284,0.09,316,0.05,311,"2020-23",-1,"N/A","1631311_2020-23","No Role Available"
1631466,"Jeenathan Williams",-0.17,426,-0.42,595,0.25,221,0.08,294,-0.06,440,0.14,240,-1.66,655,-0.18,447,-1.48,673,-0.67,540,-0.5,596,-0.17,425,0.09,310,-0.08,474,0.17,212,-0.2,415,-0.34,535,0.14,280,"2020-23",-1,"N/A","1631466_2020-23","No Role Available"
1631495,"Donovan Williams",0.15,286,0.01,361,0.14,267,0.08,295,0.06,318,0.02,323,-0.15,404,-0.04,397,-0.11,398,0.39,257,0.1,336,0.29,234,0.01,399,0.01,392,0.01,384,0.17,276,0.1,309,0.07,294,"2020-23",-1,"N/A","1631495_2020-23","No Role Available"
