player,team,salary_22_23,salary_23_24,guaranteed,player_id,salary_22_23_log,salary_23_24_log,raptor_total,nba_id,DPM,raptor_zscore,darko_zscore,raptor_zscore_standardized,darko_zscore_standardized,raptor_plus_darko,salary_22_23_log_zscores,salary_22_23_log_zscores_transformed,raptor_plus_darko_transformed,DARYL_SCORE,statmuse_player_names
Desmond Bane,MEM,2130240.0,3845083.0,5975323.0,banede01,14.571745207394477,15.16230574716484,3.283197327,1630217,1.94,1.4209091368541873,1.7871920918669322,1.4250577854984414,1.7924101820717429,3.217467967570184,-1.4179629491801178,6.425770344458621,8.717467967570183,56.01644714478045,desmond-bane
Austin Reaves,LAL,1563518.0,,1563518.0,reaveau01,14.262448968445678,,4.604783498,1630559,0.1,1.9744329337798434,0.26840754463660355,1.9801977137375761,0.269191217967489,2.2493889317050653,-1.794002000633832,7.1327237611916035,7.749388931705065,55.27425056788793,austin-reaves
Herbert Jones,NOP,1785000.0,1836096.0,1785000.0,joneshe01,14.394928973195876,14.423152136377324,2.711996472,1630529,1.0,1.1816714140293916,1.0112912905644817,1.1851215568869569,1.0142439721489176,2.1993655290358745,-1.6329342311318082,6.8299163545278,7.699365529035875,52.58602254624971,herbert-jones
Josh Okogie,PHO,1836090.0,,1836090.0,okogijo01,14.423148868568994,,2.758562929,1629006,0.73,1.2011749792554953,0.7884261667861183,1.204682066950232,0.790728145894489,1.995410212844721,-1.5986247848731132,6.765414595561452,7.495410212844721,50.709557653700045,josh-okogie
Immanuel Quickley,NYK,2316240.0,4171548.0,6487788.0,quickim01,14.655455739249128,15.24379774791035,3.349172796,1630193,1.18,1.4485418352783832,1.1598680397500574,1.4527711635057867,1.1632545229852034,2.61602568649099,-1.3161885819834964,6.234434534128973,8.116025686490989,50.59883081973723,immanuel-quickley
Isaiah Joe,OKC,1836090.0,1997238.0,1836090.0,joeis01,14.423148868568994,14.507275784064879,2.995494709,1630198,0.44,1.3004098088532652,0.5490525153204686,1.3042066338933362,0.550655591769362,1.854862225662698,-1.5986247848731132,6.765414595561452,7.354862225662698,49.75869224984201,isaiah-joe
Walker Kessler,UTA,2696400.0,2831160.0,5527560.0,kesslwa01,14.807428107961421,14.856197079628759,3.395683282,1631117,1.13,1.4680219580070415,1.118596720531842,1.4723081626262227,1.1218627033084572,2.5941708659346796,-1.13142220534739,5.887073746053093,8.094170865934679,47.650980800911874,walker-kessler
Tyrese Haliburton,IND,4215120.0,5808435.0,10023555.0,halibty01,15.254188618763727,15.574821729376367,5.904727224,1630169,1.81,2.5188921622391924,1.6798866618995723,2.52624660756075,1.6847914509122035,4.211038058472954,-0.5882555658820866,4.865920463858322,9.711038058472955,47.25313881403054,tyrese-haliburton
Tre Jones,SAS,1782621.0,,1782621.0,jonestr01,14.393595311154636,,1.821706258,1630200,-0.11,0.8087885627763761,0.09506800392009858,0.8111499942623324,0.09534557532515564,0.906495569587488,-1.634555683143809,6.83296468431036,6.406495569587488,43.77535797718209,tre-jones
Jose Alvarado,NOP,1563518.0,1836096.0,1563518.0,alvarjo01,14.262448968445678,14.423152136377324,1.762433973,1630631,-0.55,0.7839633784898044,-0.2681196052001975,0.786252327531625,-0.2689024378302095,0.5173498897014155,-1.794002000633832,7.1327237611916035,6.017349889701416,42.92009453767697,jose-alvarado
Sam Hauser,BOS,1637966.0,1927896.0,5658206.0,hausesa01,14.308965786158964,14.471939810788998,2.097294005,1630573,-0.82,0.9242137839635818,-0.490984728978561,0.9269122241117888,-0.4924182640846381,0.4344939600271506,-1.7374473523490688,7.026401022416248,5.934493960027151,41.69813442825782,sam-hauser
Tyrese Maxey,PHI,2726880.0,4343920.0,7070800.0,maxeyty01,14.818668656459064,15.284287724220066,1.78539062,1630178,0.7,0.7935783780191252,0.763663375255189,0.7958954001120139,0.7658930540884414,1.5617884542004554,-1.1177560669900697,5.86138140594133,7.061788454200455,41.39183553814171,tyrese-maxey
John Konchar,MEM,2300000.0,2400000.0,23195000.0,konchjo01,14.648419680899378,14.690979295318174,2.383390466,1629723,-0.31,1.0440404005359134,-0.07001727295276326,1.0470887001631641,-0.07022170338182851,0.9768669967813356,-1.3247429462939229,6.250516739032575,6.476866996781336,40.483765579869385,john-konchar
Trey Murphy III,NOP,3206520.0,3359280.0,6565800.0,murphtr02,14.980696794882025,15.027237223262636,1.718080196,1630530,1.02,0.7653865564922974,1.027799818251768,0.7676212665223504,1.0308007000196162,1.7984219665419667,-0.9207639933442344,5.49103630748716,7.298421966541967,40.07590000564378,trey-murphy-iii
Dennis Smith Jr.,CHO,1836090.0,,1836090.0,smithde03,14.423148868568994,,0.4495934716,1628372,-0.18,0.23410255591260576,0.03728815701459694,0.23478606847932304,0.03739702777771119,0.27218309625703424,-1.5986247848731132,6.765414595561452,5.772183096257034,39.05121176767044,dennis-smith-jr.
Terance Mann,LAC,1930681.0,10576923.0,23930681.0,mannte01,14.473383348385171,16.174185110336637,-0.3484600676,1629611,0.21,-0.10014853937064089,0.3592044469166775,-0.10044094448741274,0.36025322125633025,0.2598122767689175,-1.5375502428594507,6.650594456575767,5.759812276768917,38.30617559879641,terance-mann
Jaden McDaniels,MIN,2161440.0,3901399.0,6062839.0,mcdanja02,14.586285224203507,15.176845764724693,0.301345947,1630183,-0.05,0.17201161208914645,0.14459358698195715,0.17251383684284852,0.1450157589372509,0.3175295957800994,-1.4002853526222943,6.392536462929913,5.817529595780099,37.188770065198206,jaden-mcdaniels
Kevin Porter Jr.,HOU,3217631.0,18239000.0,21456631.0,porteke02,14.984155932464306,16.719072716546133,1.26789969,1629645,0.47,0.5768361399920379,0.5738153068513979,0.5785203366855949,0.5754906835754097,1.1540110202610045,-0.9165584109559397,5.483129812597166,6.654011020261004,36.4848061985432,kevin-porter-jr.
Quentin Grimes,NYK,2277000.0,2385720.0,4662720.0,grimequ01,14.638369345045877,14.685011523538382,0.03281406181,1629656,-0.05,0.05954161811705214,0.14459358698195715,0.05971546262749346,0.1450157589372509,0.20473122156474438,-1.3369620368783623,6.273488629331321,5.704731221564744,35.7885664518778,quentin-grimes
Keita Bates-Diop,SAS,1878720.0,,1878720.0,bateske01,14.446101251857959,,-1.182249318,1628966,0.07,-0.4493669269752769,0.24364475310567424,-0.4506789499921012,0.24435612616144137,-0.2063228238306598,-1.5707195233351179,6.712952703870021,5.29367717616934,35.53620451318099,keita-bates-diop
Daniel Gafford,WAS,1930681.0,12402000.0,42113161.0,gaffoda01,14.473383348385171,16.33336830789196,0.01974381324,1629655,-0.59,0.05406736772462085,-0.3011366605747698,0.05422522898822405,-0.30201589357160624,-0.2477906645833822,-1.5375502428594507,6.650594456575767,5.252209335416618,34.93031429089725,daniel-gafford
Dennis Schroder,LAL,1836090.0,,1836090.0,schrode01,14.423148868568994,,-0.856508658,203471,-0.26,-0.3129360147178958,-0.02874595373454781,-0.313849698457077,-0.02882988370508248,-0.3426795821621595,-1.5986247848731132,6.765414595561452,5.15732041783784,34.89141082882721,dennis-schroder
Cameron Johnson,BRK,5887899.0,,5887899.0,johnsca02,15.588409785711116,,3.775388169,1629661,1.38,1.6270548651117176,1.3249533166229193,1.6318054003748077,1.3288218016921876,2.9606272020669953,-0.1819130541793984,4.101996541857269,8.460627202066995,34.705463524822356,cameron-johnson
Donte DiVincenzo,GSW,4500000.0,4725000.0,4500000.0,divindo01,15.319587954740548,15.36837811890998,2.131296805,1628978,0.28,0.9384552760244907,0.4169842938221792,0.9411952972599033,0.4182017688037748,1.359397066063678,-0.5087437543256014,4.716438258132131,6.8593970660636785,32.35192275010203,donte-divincenzo
Jalen McDaniels,PHI,1930681.0,,1930681.0,mcdanja01,14.473383348385171,,-0.8900318435,1629667,-0.63,-0.32697662843660813,-0.33415371594934223,-0.32793130675563814,-0.33512934931300314,-0.6630606560686413,-1.5375502428594507,6.650594456575767,4.836939343931359,32.16852198754312,jalen-mcdaniels
Drew Eubanks,POR,1836090.0,,1836090.0,eubandr01,14.423148868568994,,-1.540427912,1629234,-0.42,-0.5993839138951356,-0.16081417523283725,-0.6011339436452954,-0.16128370667066977,-0.7624176503159652,-1.5986247848731132,6.765414595561452,4.737582349684034,32.05170877622669,drew-eubanks
Alperen Sengun,HOU,3375360.0,3536280.0,6911640.0,sengual01,15.03201254326695,15.078585885125026,1.902592689,1630578,-0.72,0.8426664629764117,-0.40844209054213004,0.84512680825009,-0.40963462473114604,0.435492183518944,-0.8583748565966036,5.373744730401615,5.935492183518944,31.8958198435249,alperen-sengun
Trey Lyles,SAC,2625000.0,,2625000.0,lylestr01,14.780591454007862,,-0.5778084942,1626168,-0.19,-0.19620721090962842,0.02903389317095384,-0.19678007989781388,0.02911866384236198,-0.1676614160554519,-1.1640499215174482,5.948413852452803,5.332338583944548,31.71895669870431,trey-lyles
Troy Brown Jr.,LAL,1836090.0,,1836090.0,browntr01,14.423148868568994,,-1.09333777,1628972,-0.8,-0.41212784357728804,-0.47447620129127477,-0.4133311391119354,-0.4758615362139397,-0.8891926753258751,-1.5986247848731132,6.765414595561452,4.610807324674125,31.19402317167198,troy-brown-jr.
Gabe Vincent,MIA,1815677.0,,1815677.0,vincega01,14.411968958887675,,-0.5044639371,1629216,-1.13,-0.16548809578821075,-0.7468669081314967,-0.1659712737384574,-0.7490475460804634,-0.9150188198189209,-1.612217199207635,6.790968334510354,4.584981180181079,31.13646200893562,gabe-vincent
Damion Lee,PHO,1836090.0,,1836090.0,leeda03,14.423148868568994,,-0.5435697783,1627814,-1.16,-0.1818669095031098,-0.771629699662426,-0.18239790890903607,-0.773882637886511,-0.9562805467955471,-1.5986247848731132,6.765414595561452,4.543719453204453,30.740145906845907,damion-lee
Max Strus,MIA,1815677.0,,1815677.0,strusma01,14.411968958887675,,-1.914103048,1629622,-0.55,-0.7558913627729666,-0.2681196052001975,-0.7580983495506816,-0.2689024378302095,-1.027000787380891,-1.612217199207635,6.790968334510354,4.472999212619109,30.375996013186114,max-strus
Kevon Looney,GSW,8000000.0,8500000.0,25500000.0,looneke01,15.89495209964411,15.955576721460545,3.897702662,1626172,1.82,1.6782842015485289,1.6881409257432154,1.6831843118348504,1.6930698148475527,3.376254126682403,0.1907778047639981,3.4013377270436833,8.876254126682403,30.191138035912036,kevon-looney
Tari Eason,HOU,3359160.0,3527160.0,6886320.0,easonta01,15.027201500684178,15.076003572521552,0.4001263363,1631106,-0.4,0.213384091119975,-0.1443056475455511,0.21400711168995332,-0.1447269787999714,0.06928013288998192,-0.8642240705911786,5.384741252711415,5.569280132889982,29.989132479478798,tari-eason
Franz Wagner,ORL,5258280.0,5508720.0,10767000.0,wagnefr01,15.47531453504126,15.521842849241953,2.662873937,1630532,0.0,1.1610972791871366,0.1858649062001726,1.1644873514501748,0.18640757861399693,1.3508949300641717,-0.3194130474879265,4.3604965292773015,6.850894930064172,29.87330356498828,franz-wagner
Alex Caruso,CHI,9030000.0,9460000.0,28380000.0,carusal01,16.016062925393168,16.06258294102806,5.991085028,1627936,1.5,2.5550616535770683,1.4240044827466365,2.562521703477631,1.4281621689163781,3.9906838723940092,0.3380230483215545,3.1245166691554775,9.490683872394008,29.653799960980137,alex-caruso
Saddiq Bey,ATL,2959080.0,4556983.0,7516063.0,beysa01,14.900388967177742,15.332171339714593,-0.762944174,1630180,-0.24,-0.27374812854178526,-0.01223742604726161,-0.2745473948515623,-0.012273155834384049,-0.28682055068594636,-1.0184013893140773,5.674594611910465,5.213179449314054,29.582680013999894,saddiq-bey
Cole Anthony,ORL,3613680.0,5539771.0,9153451.0,anthoco01,15.100237201665035,15.527463722129049,1.576056824,1630175,-0.91,0.7059024926857421,-0.5652731035713489,0.7079635262474939,-0.5669235395027811,0.14103998674471285,-0.77542804832967,5.217804730859779,5.641039986744713,29.433845129805746,cole-anthony
Darius Garland,CLE,8920795.0,33500000.0,203220795.0,garlada01,16.003895626145283,17.327055996795295,4.24679586,1629636,1.77,1.82449592551933,1.646869606525,1.829822932258558,1.6516779951708067,3.481500927429365,0.32323017633747075,3.152327268485555,8.981500927429366,28.31263028546389,darius-garland
Onyeka Okongwu,ATL,6395160.0,8109063.0,14504223.0,okongon01,15.671052012228618,15.908492883041909,0.7364672913,1630168,1.29,0.3542547559002599,1.2506649420301315,0.35528907855655584,1.2543165262740446,1.6096056048306004,-0.08143752115874377,3.9131025397784382,7.1096056048306,27.82061574908564,onyeka-okongwu
Naji Marshall,NOP,1782621.0,1930681.0,1782621.0,marshna01,14.393595311154636,14.473383348385171,-1.491539749,1630230,-1.28,-0.5789079417623427,-0.8706808657861431,-0.5805981875250362,-0.8732230051107015,-1.4538211926357376,-1.634555683143809,6.83296468431036,4.046178807364262,27.647396897125013,naji-marshall
Santi Aldama,MEM,2094120.0,2194200.0,4288320.0,aldamsa01,14.554643975360918,14.601328073365528,-1.583192893,1630583,-1.08,-0.6172952958224012,-0.7055955889132813,-0.6190976216894779,-0.7076557264037174,-1.3267533480931952,-1.4387544437500013,6.464858354250002,4.173246651906805,26.97944848192556,santi-aldama
Caleb Martin,MIA,6479000.0,6802950.0,20408850.0,martica02,15.684076735432095,15.732866899601527,0.305591023,1628997,1.23,0.17378958967193245,1.2011393589682728,0.17429700561210593,1.2046463426619494,1.3789433482740554,-0.06560220232160277,3.883332140364613,6.878943348274055,26.713221796100004,caleb-martin
AJ Griffin,ATL,3536160.0,3712920.0,7249080.0,griffaj01,15.07855195058475,15.127329187007359,-0.2148282783,1631100,-0.99,-0.04417914666177509,-0.6313072143204935,-0.044308137145507534,-0.6331504509855747,-0.6774585881310822,-0.8017927441128476,5.267370358932153,4.822541411868918,25.402111687601153,aj-griffin
Tyler Herro,MIA,5722116.0,27000000.0,125722116.0,herroty01,15.559849225018652,17.111347423968603,-0.04592799605,1629639,0.46,0.026561851983885703,0.5655610430077549,0.026639405001431773,0.5672123196400606,0.5938517246414924,-0.2166366776811966,4.167276954040649,6.0938517246414925,25.394767853439358,tyler-herro
Isaiah Hartenstein,NYK,7804879.0,8195121.0,16000000.0,harteis01,15.87025960892873,15.919049535151736,1.969755256,1628392,0.89,0.8707963571239752,0.9204943882844078,0.8733388336502378,0.9231819688600763,1.796520802510314,0.16075693927207074,3.457776954168507,7.296520802510314,25.229741476531263,isaiah-hartenstein
