Player,Tm,salary_22_23,salary_23_24,Guaranteed,-9999
Stephen Curry,GSW,"$48,070,014","$51,915,615","$215,353,662",curryst01
Russell Westbrook,UTA,"$47,559,433",,"$47,063,478",westbru01
LeBron James,LAL,"$44,474,988","$53,369,986","$97,844,974",jamesle01
Kevin Durant,PHO,"$44,119,845","$47,649,433","$197,656,908",duranke01
Bradley Beal,WAS,"$43,279,250","$46,741,590","$193,891,040",bealbr01
Damian Lillard,POR,"$42,492,492","$45,640,084","$195,465,463",lillada01
Giannis Antetokounmpo,MIL,"$42,492,492","$45,640,084","$136,920,252",antetgi01
Paul George,LAC,"$42,492,492","$45,640,084","$88,132,576",georgpa01
Kawhi Leonard,LAC,"$42,492,492","$45,640,084","$88,132,576",leonaka01
John Wall,HOU,"$47,345,760","$6,802,950","$54,148,710",walljo01
Klay Thompson,GSW,"$40,600,080","$43,219,440","$83,819,520",thompkl01
Kyrie Irving,DAL,"$38,917,057",,"$38,917,057",irvinky01
Rudy Gobert,MIN,"$38,172,414","$41,000,000","$123,000,000",goberru01
Anthony Davis,LAL,"$37,980,720","$40,600,080","$78,580,800",davisan02
Khris Middleton,MIL,"$37,948,276","$40,396,552","$37,948,276",middlkh01
Jimmy Butler,MIA,"$37,653,300","$45,183,960","$131,635,937",butleji01
Tobias Harris,PHI,"$37,633,050","$39,270,150","$76,903,200",harrito02
Trae Young,ATL,"$37,096,500","$40,064,220","$215,159,700",youngtr01
Luka Dončić,DAL,"$37,096,500","$40,064,220","$166,192,320",doncilu01
Zach LaVine,CHI,"$37,096,500","$40,064,220","$166,192,320",lavinza01
Ben Simmons,BRK,"$35,448,672","$37,893,408","$113,680,224",simmobe01
Pascal Siakam,TOR,"$35,448,672","$37,893,408","$73,342,080",siakapa01
Myles Turner,IND,"$35,069,500","$20,975,000","$75,973,000",turnemy01
Devin Booker,PHO,"$33,833,400","$36,016,200","$290,467,200",bookede01
Karl-Anthony Towns,MIN,"$33,833,400","$36,016,200","$229,403,400",townska01
Kristaps Porziņģis,WAS,"$33,833,400","$36,016,200","$33,833,400",porzikr01
Jrue Holiday,MIL,"$33,665,040","$36,158,747","$69,823,787",holidjr01
Joel Embiid,PHI,"$33,616,770","$46,900,000","$185,572,770",embiijo01
Andrew Wiggins,GSW,"$33,616,770","$24,330,357","$112,447,128",wiggian01
CJ McCollum,NOP,"$33,333,333","$35,802,469","$133,135,801",mccolcj01
Nikola Jokić,DEN,"$33,047,803","$46,900,000","$243,159,803",jokicni01
James Harden,PHI,"$33,000,000","$35,640,000","$33,000,000",hardeja01
Brandon Ingram,NOP,"$31,650,600","$33,833,400","$101,500,200",ingrabr01
Jamal Murray,DEN,"$31,650,600","$33,833,400","$101,500,200",murraja01
D'Angelo Russell,LAL,"$31,377,750",,"$31,377,750",russeda01
Shai Gilgeous-Alexander,OKC,"$30,913,750","$33,386,850","$179,299,750",gilgesh01
Michael Porter Jr.,DEN,"$30,913,750","$33,386,850","$150,493,600",portemi01
Deandre Ayton,PHO,"$30,913,750","$32,459,438","$132,929,128",aytonde01
Donovan Mitchell,CLE,"$30,913,750","$33,162,030","$99,486,090",mitchdo01
De'Aaron Fox,SAC,"$30,351,780","$32,600,060","$134,896,800",foxde01
Bam Adebayo,MIA,"$30,351,780","$32,600,060","$134,896,800",adebaba01
Jayson Tatum,BOS,"$30,351,780","$32,600,060","$97,800,180",tatumja01
Gordon Hayward,CHO,"$30,075,000","$31,500,000","$61,575,000",haywago01
Jaren Jackson Jr.,MEM,"$28,946,605","$27,102,202","$104,720,000",jacksja02
Kevin Love,CLE,"$32,056,968",,"$28,942,830",loveke01
Jaylen Brown,BOS,"$28,741,071","$30,723,215","$59,464,286",brownja02
Chris Paul,PHO,"$28,400,000","$30,800,000","$44,200,000",paulch01
Kyle Lowry,MIA,"$28,333,334","$29,682,540","$58,015,874",lowryky01
Jalen Brunson,NYK,"$27,733,332","$26,346,666","$79,039,999",brunsja01
Kemba Walker,OKC,"$37,281,261",,"$27,431,078",walkeke02
DeMar DeRozan,CHI,"$27,300,000","$28,600,000","$55,900,000",derozde01
Al Horford,BOS,"$26,500,000","$10,000,000","$46,000,000",horfoal01
Draymond Green,GSW,"$25,806,468","$27,586,224","$25,806,468",greendr01
Julius Randle,NYK,"$23,760,000","$25,660,800","$76,982,400",randlju01
John Collins,ATL,"$23,500,000","$25,340,000","$102,000,000",collijo01
Mike Conley,MIN,"$22,680,000","$24,360,000","$37,000,000",conlemi01
