Player,Tm,salary_23_24,salary_24_25,Guaranteed,other_player_name
Stephen Curry,GSW,"$51,915,615","$55,761,216","$167,283,648",curryst01
Kevin Durant,PHO,"$47,649,433","$51,179,021","$153,537,063",duranke01
Nikola Jokić,DEN,"$47,607,350","$51,415,938","$213,280,928",jokicni01
Joel Embiid,PHI,"$47,607,350","$51,415,938","$154,247,814",embiijo01
LeBron James,LAL,"$47,607,350","$51,415,938","$47,607,350",jamesle01
Bradley Beal,PHO,"$46,741,590","$50,203,930","$150,611,790",bealbr01
Damian Lillard,POR,"$45,640,084","$48,787,676","$152,972,971",lillada01
Giannis Antetokounmpo,MIL,"$45,640,084","$48,787,676","$94,427,760",antetgi01
Kawhi Leonard,LAC,"$45,640,084","$48,787,676","$45,640,084",leonaka01
Paul George,LAC,"$45,640,084","$48,787,676","$45,640,084",georgpa01
Jimmy Butler,MIA,"$45,183,960","$48,798,677","$93,982,637",butleji01
Klay Thompson,GSW,"$43,219,440",,"$43,219,440",thompkl01
Rudy Gobert,MIN,"$41,000,000","$43,827,586","$84,827,586",goberru01
Fred VanVleet,HOU,"$40,806,300","$42,846,615","$128,539,845",vanvlfr01
Anthony Davis,LAL,"$40,600,080","$43,219,440","$40,600,080",davisan02
Trae Young,ATL,"$40,064,220","$43,031,940","$178,063,200",youngtr01
Luka Dončić,DAL,"$40,064,220","$43,031,940","$129,095,820",doncilu01
Zach LaVine,CHI,"$40,064,220","$43,031,940","$129,095,820",lavinza01
Tobias Harris,PHI,"$39,270,150",,"$39,270,150",harrito02
Ben Simmons,BRK,"$37,893,408","$40,338,144","$78,231,552",simmobe01
Pascal Siakam,TOR,"$37,893,408",,"$37,893,408",siakapa01
Kyrie Irving,DAL,"$37,037,037","$40,000,000","$77,037,037",irvinky01
Jrue Holiday,MIL,"$36,861,707","$39,403,894","$36,861,707",holidjr01
Devin Booker,PHO,"$36,016,200","$49,700,000","$258,672,200",bookede01
Karl-Anthony Towns,MIN,"$36,016,200","$49,245,000","$195,570,000",townska01
Kristaps Porziņģis,BOS,"$36,016,200","$29,268,293","$96,016,200",porzikr01
CJ McCollum,NOP,"$35,802,469","$33,333,333","$99,802,468",mccolcj01
James Harden,PHI,"$35,640,000",,"$35,640,000",hardeja01
Zion Williamson,NOP,"$34,005,250","$36,725,670","$197,230,450",willizi01
Ja Morant,MEM,"$34,005,250","$36,725,670","$197,230,450",moranja01
Darius Garland,CLE,"$34,005,250","$36,725,670","$197,230,450",garlada01
Brandon Ingram,NOP,"$33,833,400","$36,016,200","$69,849,600",ingrabr01
Jamal Murray,DEN,"$33,833,400","$36,016,200","$69,849,600",murraja01
Shai Gilgeous-Alexander,OKC,"$33,386,850","$35,859,950","$148,386,000",gilgesh01
Michael Porter Jr.,DEN,"$33,386,850","$35,859,950","$119,579,850",portemi01
Donovan Mitchell,CLE,"$33,162,030","$35,410,310","$68,572,340",mitchdo01
De'Aaron Fox,SAC,"$32,600,060","$34,848,340","$104,545,020",foxde01
Bam Adebayo,MIA,"$32,600,060","$34,848,340","$104,545,020",adebaba01
Jayson Tatum,BOS,"$32,600,060","$34,848,340","$67,448,400",tatumja01
Deandre Ayton,PHO,"$32,459,438","$34,005,126","$102,015,378",aytonde01
Jaylen Brown,BOS,"$31,830,357","$49,700,000","$320,090,357",brownja02
Gordon Hayward,CHO,"$31,500,000",,"$31,500,000",haywago01
Chris Paul,GSW,"$30,800,000","$30,000,000","$15,800,000",paulch01
Domantas Sabonis,SAC,"$30,600,000","$41,800,000","$216,616,000",sabondo01
Kyle Lowry,MIA,"$29,682,540",,"$29,682,540",lowryky01
Khris Middleton,MIL,"$29,320,988","$31,666,667","$60,987,655",middlkh01
DeMar DeRozan,CHI,"$28,600,000",,"$28,600,000",derozde01
Julius Randle,NYK,"$28,226,880","$30,317,760","$58,544,640",randlju01
Jerami Grant,POR,"$27,586,207","$29,793,104","$123,586,210",grantje01
Jordan Poole,WAS,"$27,455,357","$29,651,786","$123,000,000",poolejo01
Jaren Jackson Jr.,MEM,"$27,102,202","$25,257,798","$75,773,395",jacksja02
Tyler Herro,MIA,"$27,000,000","$29,000,000","$120,000,000",herroty01
Jalen Brunson,NYK,"$26,346,666","$24,960,001","$51,306,667",brunsja01
Cameron Johnson,BRK,"$25,679,348","$23,625,000","$94,500,000",johnsca02
Kyle Kuzma,WAS,"$25,568,182","$23,522,727","$90,000,000",kuzmaky01
John Collins,UTA,"$25,340,000","$26,580,000","$78,500,000",collijo01
Brook Lopez,MIL,"$25,000,000","$23,000,000","$48,000,000",lopezbr01
Mike Conley,MIN,"$24,360,000",,"$14,320,000",conlemi01
Andrew Wiggins,GSW,"$24,330,357","$26,276,786","$78,830,358",wiggian01
Anfernee Simons,POR,"$24,107,143","$25,892,857","$77,678,571",simonan01
RJ Barrett,NYK,"$23,883,929","$25,794,643","$107,000,000",barrerj01
Jordan Clarkson,UTA,"$23,487,629","$14,092,577","$51,865,920",clarkjo01
Terry Rozier,CHO,"$23,205,221","$24,924,126","$74,772,378",roziete01
Dillon Brooks,HOU,"$22,627,671","$22,255,493","$86,000,001",brookdi01
Malcolm Brogdon,BOS,"$22,500,000","$22,500,000","$45,000,000",brogdma01
Draymond Green,GSW,"$22,321,429","$24,107,143","$100,000,000",greendr01
Aaron Gordon,DEN,"$22,266,182","$23,841,455","$46,107,637",gordoaa01
Bruce Brown,IND,"$22,000,000","$23,000,000","$22,000,000",brownbr01
Mikal Bridges,BRK,"$21,700,000","$23,300,000","$69,900,000",bridgmi01
Myles Turner,IND,"$20,975,000","$19,928,500","$40,903,500",turnemy01
Clint Capela,ATL,"$20,616,000","$22,265,280","$42,881,280",capelca01
Lonzo Ball,CHI,"$20,465,117","$21,395,348","$20,465,117",balllo01
Spencer Dinwiddie,BRK,"$20,357,143",,"$20,357,143",dinwisp01
De'Andre Hunter,ATL,"$20,089,286","$21,696,429","$90,000,000",huntede01
Keldon Johnson,SAS,"$20,000,000","$19,000,000","$74,000,000",johnske04
Jarrett Allen,CLE,"$20,000,000","$20,000,000","$60,000,000",allenja01
Bojan Bogdanović,DET,"$20,000,000","$19,032,850","$20,000,000",bogdabo02
Joe Harris,DET,"$19,928,571",,"$19,928,571",harrijo01
Jakob Poeltl,TOR,"$19,500,000","$19,500,000","$58,500,000",poeltja01
Buddy Hield,IND,"$19,279,841",,"$19,279,841",hieldbu01
Evan Fournier,NYK,"$18,857,143","$19,000,000","$37,857,143",fournev01
Marcus Smart,MEM,"$18,833,713","$20,210,284","$60,630,852",smartma01
Bogdan Bogdanović,ATL,"$18,700,000","$17,260,000","$51,980,000",bogdabo01
OG Anunoby,TOR,"$18,642,857","$19,928,571","$18,642,857",anunoog01
Gary Trent Jr.,TOR,"$18,560,000",,"$18,560,000",trentga02
Nikola Vučević,CHI,"$18,518,519","$20,000,000","$60,000,000",vucevni01
Derrick White,BOS,"$18,357,143","$19,571,429","$37,928,572",whitede01
Dejounte Murray,ATL,"$18,214,000","$25,499,599","$100,832,704",murrade01
Duncan Robinson,MIA,"$18,154,000","$19,406,000","$47,448,000",robindu01
Norman Powell,LAC,"$18,000,000","$19,241,379","$57,724,137",powelno01
Tim Hardaway Jr.,DAL,"$17,897,728","$16,193,183","$34,090,911",hardati02
Jonathan Isaac,ORL,"$17,400,000","$17,400,000","$7,400,000",isaacjo01
Collin Sexton,UTA,"$17,325,000","$18,150,000","$54,450,000",sextoco01
D'Angelo Russell,LAL,"$17,307,693","$18,692,307","$36,000,000",russeda01
Lauri Markkanen,UTA,"$17,259,999","$18,044,544","$23,259,999",markkla01
Marcus Morris,LAC,"$17,116,279",,"$17,116,279",morrima03
