player_name,player_id,poss,mp,raptor_total
Stanley Umude,umudest01,4,2,59.36133793
Donovan Williams,willido02,9,4,43.73613246
Jordan Schakel,schakjo01,12,6,23.04890423
Tyler Dorsey,dorsety01,16,8,22.81356811
Nikola Jokic,jokicni01,6352,3070,13.20599451
Alize Johnson,johnsal02,64,30,10.6053735
Jarrell Brantley,brantja01,80,39,9.050143857
Dylan Windler,windldy01,18,10,8.015817541
Joel Embiid,embiijo01,5286,2620,7.824614793
Luka Doncic,doncilu01,4863,2391,7.823640358
Damian Lillard,lillada01,4380,2107,7.817429222
Anthony Davis,davisan02,5327,2512,7.247951689
Kawhi Leonard,leonaka01,3760,1828,6.771640676
Stephen Curry,curryst01,5300,2434,6.315872527
Jimmy Butler,butleji01,5975,2971,6.2081969
Alex Caruso,carusal01,3274,1575,5.991085028
Kyrie Irving,irvinky01,4597,2241,5.967894476
Tyrese Haliburton,halibty01,3980,1883,5.904727224
Jrue Holiday,holidjr01,5086,2374,5.707875378
Devin Booker,bookede01,4744,2294,5.638735974
Jonathan Isaac,isaacjo01,257,124,5.619821717
Ron Harper Jr.,harpero02,98,48,5.568646861
Ja Morant,moranja01,4560,2135,5.462073216
Giannis Antetokounmpo,antetgi01,4574,2115,5.382537601
Shai Gilgeous-Alexander,gilgesh01,5208,2416,5.174326509
Fred VanVleet,vanvlfr01,5188,2535,5.043508149
Mac McClung,mccluma01,92,41,5.037736714
Kevin Durant,duranke01,4410,2138,4.991538783
James Harden,hardeja01,5091,2562,4.832438241
Kristaps Porzingis,porzikr01,4381,2120,4.8164823
Paul George,georgpa01,3977,1939,4.795978742
Jalen Brunson,brunsja01,5693,2822,4.775733848
Isaiah Mobley,mobleis01,171,84,4.763550176
Donovan Mitchell,mitchdo01,5302,2639,4.708926032
Blake Griffin,griffbl01,1197,575,4.68082062
Austin Reaves,reaveau01,5167,2422,4.604783498
Delon Wright,wrighde01,2530,1221,4.532092166
Lauri Markkanen,markkla01,4786,2273,4.530783729
Derrick White,whitede01,6019,2912,4.445640225
LeBron James,jamesle01,5487,2573,4.30781716
Darius Garland,garlada01,5317,2636,4.24679586
Brook Lopez,lopezbr01,5475,2555,4.215250819
Facundo Campazzo,campafa01,108,52,4.187307506
Jayson Tatum,tatumja01,7273,3531,4.17886179
Darius Days,daysda01,53,25,3.995541624
Steven Adams,adamsst01,2391,1133,3.966491046
Trae Young,youngtr01,6020,2771,3.946115529
Kevon Looney,looneke01,4890,2283,3.897702662
Cameron Johnson,johnsca02,2765,1351,3.775388169
Moses Brown,brownmo01,623,294,3.760976259
Paul Reed,reedpa01,1874,912,3.738491447
Nickeil Alexander-Walker,alexani01,2185,1032,3.677967138
Shaquille Harrison,harrish01,320,148,3.626706959
Zion Williamson,willizi01,2035,956,3.587773275
Walker Kessler,kesslwa01,3600,1703,3.395683282
Immanuel Quickley,quickim01,5134,2519,3.349172796
Jamal Murray,murraja01,5920,2890,3.297130825
Desmond Bane,banede01,4448,2072,3.283197327
Javonte Green,greenja02,1023,480,3.256536279
Alec Burks,burksal01,2413,1122,3.080931963
Jaren Jackson Jr.,jacksja02,4310,2007,3.063777972
Micah Potter,pottemi01,117,52,3.053956839
Mitchell Robinson,robinmi01,3802,1889,3.004398922
Isaiah Joe,joeis01,3006,1395,2.995494709
Garrison Mathews,mathega01,1458,686,2.98361089
Clint Capela,capelca01,4036,1881,2.937828737
Jalen Suggs,suggsja01,2641,1246,2.875895952
Josh Hart,hartjo01,5752,2807,2.791689229
Domantas Sabonis,sabondo01,6254,2979,2.782795106
Josh Okogie,okogijo01,3196,1525,2.758562929
Tim Hardaway Jr.,hardati02,4367,2152,2.737440449
Herbert Jones,joneshe01,4036,1951,2.711996472
Franz Wagner,wagnefr01,5497,2609,2.662873937
Aaron Gordon,gordoaa01,5658,2739,2.651535846
DeMar DeRozan,derozde01,5577,2682,2.641294841
Khris Middleton,middlkh01,2129,974,2.598634162
Draymond Green,greendr01,5768,2664,2.568905943
Boban Marjanovic,marjabo01,357,171,2.527780084
