player,team,salary_23_24,salary_23_24_log_zscores,raptor_zscore,darko_zscore,daryl_score,id,statmuse_player_names
Walker Kessler,UTA,"$2,831,160",-1.54,1.5,1.08,55.39,1,walker-kessler
Desmond Bane,MEM,"$3,845,083",-1.14,1.46,1.76,53.18,2,desmond-bane
Josh Okogie,PHO,"$2,815,937",-1.55,1.23,0.74,51.28,3,shaq
Tyrese Haliburton,IND,"$5,808,435",-0.6,2.6,1.65,49.62,4,tyrese-haliburton
Immanuel Quickley,NYK,"$4,171,548",-1.04,1.48,1.12,47.83,5,immanuel-quickley
Trey Murphy III,NOP,"$3,359,280",-1.32,0.77,0.98,46.69,6,shaq
John Konchar,MEM,"$2,400,000",-1.76,1.06,-0.13,46.67,7,shaq
Dwight Powell,DAL,"$4,000,000",-1.09,0.33,1.14,41.82,8,dwight-powell
Quentin Grimes,NYK,"$2,385,720",-1.77,0.04,0.09,40.9,9,quentin-grimes
Tyrese Maxey,PHI,"$4,343,920",-0.98,0.8,0.72,40.72,10,tyrese-maxey
Kevon Looney,GSW,"$7,500,000",-0.27,1.72,1.66,39.63,11,kevon-looney
Keita Bates-Diop,PHO,"$2,346,614",-1.79,-0.49,0.19,37.98,12,shaq
Alex Caruso,CHI,"$9,460,000",0.03,2.63,1.39,37.07,13,alex-caruso
Alperen Sengun,HOU,"$3,536,280",-1.25,0.85,-0.48,37.06,14,alperen-sengun
Kevin Love,MIA,"$3,835,738",-1.15,0.45,0.02,36.45,15,kevin-love
Franz Wagner,ORL,"$5,508,720",-0.67,1.19,0.13,35.55,16,franz-wagner
Jaden McDaniels,MIN,"$3,901,399",-1.12,0.16,0.09,34.82,17,jaden-mcdaniels
Tari Eason,HOU,"$3,527,160",-1.26,0.2,-0.21,34.65,18,shaq
Drew Eubanks,PHO,"$2,346,614",-1.79,-0.65,-0.22,33.82,19,shaq
Mason Plumlee,LAC,"$5,000,000",-0.8,0.25,0.3,33.0,20,mason-plumlee
Russell Westbrook,LAC,"$3,835,738",-1.15,-0.64,0.41,32.15,21,russell-westbrook
Caleb Martin,MIA,"$6,802,950",-0.4,0.16,1.16,32.05,22,caleb-martin
Damion Lee,PHO,"$2,528,233",-1.69,-0.21,-0.84,31.64,23,damion-lee
Josh Richardson,MIA,"$2,891,467",-1.52,-0.75,-0.18,31.04,24,josh-richardson
Naji Marshall,NOP,"$1,930,681",-2.04,-0.62,-0.95,30.57,25,shaq
Santi Aldama,MEM,"$2,194,200",-1.88,-0.66,-0.78,30.3,26,shaq
Onyeka Okongwu,ATL,"$8,109,063",-0.17,0.35,1.21,30.13,27,onyeka-okongwu
AJ Griffin,ATL,"$3,712,920",-1.19,-0.07,-0.7,29.23,28,shaq
Saddiq Bey,ATL,"$4,556,983",-0.92,-0.31,-0.07,29.08,29,saddiq-bey
Cole Anthony,ORL,"$5,539,771",-0.67,0.71,-0.64,29.01,30,cole-anthony
Patrick Beverley,PHI,"$2,019,706",-1.98,-1.03,-0.69,29.0,31,shaq
Isaiah Hartenstein,NYK,"$9,245,121",0.0,0.88,0.88,28.65,32,shaq
T.J. McConnell,IND,"$8,700,000",-0.08,1.0,0.46,28.53,33,shaq
Kyle Anderson,MIN,"$9,219,512",-0.0,0.64,0.93,27.99,34,kyle-anderson
Jalen Williams,OKC,"$4,558,680",-0.92,-0.66,0.02,27.57,35,jalen-williams
De'Anthony Melton,PHI,"$8,000,000",-0.19,0.55,0.27,27.19,36,shaq
Anthony Edwards,MIN,"$13,534,817",0.5,1.03,2.45,27.07,37,anthony-edwards
Troy Brown Jr.,MIN,"$4,000,000",-1.09,-0.45,-0.54,27.02,38,shaq
Jalen McDaniels,TOR,"$4,516,000",-0.93,-0.36,-0.4,27.0,39,shaq
Jarred Vanderbilt,LAL,"$4,698,000",-0.88,-0.76,-0.09,26.06,40,jarred-vanderbilt
Al Horford,BOS,"$10,000,000",0.1,0.88,0.46,25.67,41,al-horford
Christian Braun,DEN,"$2,949,120",-1.49,-0.71,-0.98,25.67,42,christian-braun
Austin Reaves,LAL,"$12,015,150",0.34,2.03,0.21,25.59,43,austin-reaves
Bol Bol,PHO,"$2,019,706",-1.98,-2.04,-0.13,25.49,44,bol-bol
Scottie Barnes,TOR,"$8,008,680",-0.19,0.3,0.12,25.46,45,scottie-barnes
Herbert Jones,NOP,"$12,015,150",0.34,1.21,0.97,25.36,46,herbert-jones
Davion Mitchell,SAC,"$5,063,640",-0.78,0.12,-0.95,25.34,47,davion-mitchell
Corey Kispert,WAS,"$3,722,040",-1.19,-1.07,-0.34,25.21,48,shaq
Malik Beasley,MIL,"$2,019,706",-1.98,-0.75,-1.47,25.09,49,malik-beasley
Evan Mobley,CLE,"$8,882,640",-0.05,0.03,0.66,25.01,50,evan-mobley
Josh Green,DAL,"$4,765,339",-0.86,-0.01,-1.06,24.64,51,josh-green
Cedi Osman,SAS,"$6,718,842",-0.41,0.35,-0.64,24.6,52,cedi-osman
Josh Hart,NYK,"$12,960,000",0.44,1.24,1.03,24.25,53,josh-hart
Jevon Carter,CHI,"$6,190,476",-0.52,-0.56,-0.03,24.2,54,jevon-carter
Donte DiVincenzo,NYK,"$10,900,000",0.22,0.95,0.36,24.15,55,donte-divincenzo
Tre Jones,SAS,"$9,895,833",0.09,0.82,0.04,24.02,56,tre-jones
